date,ind,ind_d
374,1.154734,-0.0067617
375,1.187754,0.0330195
376,1.221525,0.0337719
377,1.208136,-0.0133893
378,1.27214,0.0640037
379,1.189886,-0.0822538
380,1.175205,-0.0146811
381,1.22693,0.051725
382,1.03974,-0.1871895
383,1.02064,-0.0191002
384,1.081908,0.0612676
385,1.183468,0.1015606
386,0.938776,-0.2446924
387,0.9011287,-0.0376473
388,0.9119986,0.0108699
389,0.839716,-0.0722826
390,0.8766556,0.0369396
391,0.6587501,-0.2179055
392,0.7258759,0.0671258
393,0.7389655,0.0130896
394,0.5905963,-0.1483693
395,0.5357121,-0.0548842
396,0.538821,0.003109
397,0.5804685,0.0416475
398,0.650314,0.0698454
399,0.6413957,-0.0089182
400,0.6449271,0.0035314
401,0.7101331,0.065206
402,0.7211085,0.0109754
403,0.7628975,0.041789
404,0.6684256,-0.0944719
405,0.7208763,0.0524507
406,0.7863607,0.0654844
407,0.8696112,0.0832505
408,0.5299504,-0.3396608
409,0.5988016,0.0688511
410,0.5927469,-0.0060546
411,0.6528675,0.0601206
412,0.4992988,-0.1535687
413,0.7215044,0.2222056
414,0.7940641,0.0725597
415,0.7820756,-0.0119885
416,0.6663759,-0.1156996
417,0.6949663,0.0285903
418,0.751474,0.0565077
419,0.635441,-0.116033
420,0.7209201,0.0854791
421,0.7164966,-0.0044235
422,0.614631,-0.1018656
423,0.7679607,0.1533297
424,0.5437683,-0.2241924
425,0.5312629,-0.0125054
426,0.7337429,0.20248
427,0.625821,-0.1079219
428,0.6621082,0.0362872
429,0.3516789,-0.3104294
430,0.6078656,0.2561868
431,0.6524901,0.0446244
432,0.6143139,-0.0381762
433,0.5112904,-0.1030235
434,0.3875771,-0.1237133
435,0.2645803,-0.1229968
436,0.4488504,0.1842701
437,0.4656919,0.0168414
438,0.2258736,-0.2398183
439,0.1487631,-0.0771105
440,0.4097368,0.2609736
441,0.4078786,-0.0018582
442,0.408724,0.0008454
443,0.2768361,-0.131888
444,0.4601266,0.1832905
445,0.1823621,-0.2777645
446,0.2740562,0.0916941
447,-0.0338303,-0.3078865
448,0.1278967,0.161727
449,0.0484331,-0.0794635
450,0.086323,0.0378899
451,-0.1475833,-0.2339063
452,-0.0661842,0.0813991
453,-0.2289097,-0.1627255
454,-0.2663721,-0.0374624
455,-0.1237526,0.1426194
456,-0.0915614,0.0321912
457,-0.1332485,-0.0416871
458,-0.1207252,0.0125233
459,-0.2173682,-0.0966431
460,-0.1554776,0.0618906
461,-0.2352353,-0.0797577
462,-0.1866231,0.0486122
463,-0.337737,-0.1511139
464,-0.1800733,0.1576637
465,-0.3001014,-0.1200281
466,-0.4011245,-0.1010231
467,-0.2952094,0.105915
468,-0.3025745,-0.007365
469,-0.2082767,0.0942978
470,-0.320483,-0.1122063
471,-0.4133911,-0.0929081
472,-0.2076178,0.2057733
473,-0.3703247,-0.1627069
474,-0.343008,0.0273167
475,-0.3019928,0.0410151
476,-0.2816448,0.0203481
477,-0.136879,0.1447658
478,-0.2597072,-0.1228282
479,-0.2212652,0.0384419
480,-0.2313431,-0.0100779
481,-0.3751581,-0.143815
482,-0.1990514,0.1761068
483,-0.2294841,-0.0304327
484,-0.3373548,-0.1078707
485,-0.1491164,0.1882384
486,-0.2370578,-0.0879414
487,-0.313423,-0.0763652
488,-0.2996293,0.0137937
489,-0.6467514,-0.3471221
490,-0.6261702,0.0205812
491,-0.5160737,0.1100965
492,-0.4640589,0.0520148
493,-0.5365953,-0.0725364
494,-0.4501931,0.0864022
495,-0.5386546,-0.0884615
496,-0.5449696,-0.006315
497,-0.5396897,0.0052799
498,-0.6877254,-0.1480357
499,-0.5717593,0.1159661
500,-0.6225588,-0.0507994
501,-0.4428654,0.1796934
502,-0.6109361,-0.1680707
503,-0.5325568,0.0783793
504,-0.5347615,-0.0022047
505,-0.5241543,0.0106072
506,-0.5402716,-0.0161173
507,-0.5725552,-0.0322836
508,-0.5313438,0.0412115
509,-0.4237786,0.1075652
510,-0.6630891,-0.2393105
511,-0.5835436,0.0795455
512,-0.4755342,0.1080094
513,-0.4592109,0.0163233
514,-0.4363357,0.0228752
515,-0.5954618,-0.1591261
516,-0.4305643,0.1648975
517,-0.5586603,-0.128096
518,-0.457082,0.1015783
519,-0.2879545,0.1691276
520,-0.2257819,0.0621726
521,-0.2497219,-0.0239401
522,-0.137807,0.111915
523,-0.0773459,0.060461
524,-0.138209,-0.0608631
525,-0.2308811,-0.0926721
526,-0.250778,-0.0198969
527,-0.0606864,0.1900916
528,-0.1461722,-0.0854857
529,-0.1637015,-0.0175294
530,-0.0877807,0.0759208
531,-0.1818936,-0.0941128
532,-0.1449216,0.036972
533,-0.4542591,-0.3093375
534,-0.2581849,0.1960741
535,-0.1641709,0.094014
536,-0.1762601,-0.0120892
537,-0.2028467,-0.0265866
538,-0.0724939,0.1303527
539,0.0428974,0.1153913
540,0.0407098,-0.0021876
541,-0.1203627,-0.1610725
542,-0.0822931,0.0380696
543,0.0555682,0.1378614
544,0.0482621,-0.0073062
545,0.048543,0.0002809
546,-0.0619016,-0.1104445
547,-0.0196097,0.0422919
548,-0.3338701,-0.3142604
549,-0.1101075,0.2237626
550,-0.1857155,-0.075608
551,-0.1595425,0.026173
552,-0.3694402,-0.2098977
553,-0.2054198,0.1640204
554,-0.23836,-0.0329402
555,-0.3518366,-0.1134766
556,-0.2648105,0.0870261
557,-0.312528,-0.0477175
558,-0.3278347,-0.0153067
559,-0.2678528,0.0599819
560,-0.2453471,0.0225057
561,-0.3374245,-0.0920775
562,-0.3203108,0.0171137
563,-0.297702,0.0226088
564,-0.3772995,-0.0795975
565,-0.2413188,0.1359807
566,-0.2050185,0.0363003
567,-0.2764211,-0.0714026
568,-0.2691665,0.0072546
569,-0.3263609,-0.0571944
570,-0.3476032,-0.0212423
571,-0.4860912,-0.138488
572,-0.5089135,-0.0228223
573,-0.6280468,-0.1191333
574,-0.5572778,0.070769
575,-0.3922466,0.1650312
576,-0.563357,-0.1711104
577,-0.3567277,0.2066292
578,-0.4139434,-0.0572156
579,-0.4209109,-0.0069675
580,-0.6433921,-0.2224812
581,-0.6337679,0.0096242
582,-0.7032288,-0.0694609
583,-0.7289697,-0.0257409
584,-0.5911845,0.1377852
585,-0.6459493,-0.0547648
586,-0.4509737,0.1949756
587,-0.5316041,-0.0806304
588,-0.3765295,0.1550747
589,-0.4448059,-0.0682764
590,-0.5802413,-0.1354354
591,-0.3535169,0.2267244
592,-0.428039,-0.0745221
593,-0.3931712,0.0348678
594,-0.3485966,0.0445746
595,-0.2717303,0.0768663
596,-0.2595938,0.0121365
597,-0.3062739,-0.0466801
598,-0.3708852,-0.0646113
599,-0.2066803,0.1642048
600,-0.3270952,-0.1204148
601,-0.359227,-0.0321319
602,-0.4748894,-0.1156623
603,-0.4563394,0.0185499
604,-0.4170353,0.0393041
605,-0.3423095,0.0747258
606,-0.3938749,-0.0515653
607,-0.333738,0.0601369
608,-0.4894929,-0.1557549
609,-0.403276,0.0862169
610,-0.5936514,-0.1903754
611,-0.5197501,0.0739014
612,-0.5733697,-0.0536197
613,-0.5469036,0.0264661
614,-0.5231535,0.0237501
615,-0.5346459,-0.0114924
616,-0.5162708,0.0183751
617,-0.4825136,0.0337572
618,-0.6190029,-0.1364893
619,-0.5776823,0.0413206
620,-0.6899977,-0.1123154
621,-0.6435859,0.0464118
622,-0.6323999,0.011186
623,-0.7374031,-0.1050032
624,-0.7077559,0.0296472
625,-0.7923803,-0.0846244
626,-0.7591808,0.0331995
627,-0.7881043,-0.0289235
628,-0.7078831,0.0802212
629,-0.6140584,0.0938246
630,-0.6383505,-0.0242921
631,-0.7796325,-0.141282
632,-0.7507737,0.0288588
633,-0.8670987,-0.116325
634,-0.6707121,0.1963866
635,-0.6928483,-0.0221362
636,-0.6895818,0.0032666
637,-0.6150782,0.0745035
638,-0.5834274,0.0316508
639,-0.5010094,0.082418
640,-0.4300898,0.0709196
641,-0.3415817,0.0885081
642,-0.5371266,-0.1955449
643,-0.4163496,0.120777
644,-0.3917929,0.0245568
645,-0.3616957,0.0300972
646,-0.4448206,-0.0831249
647,-0.5724491,-0.1276286
648,-0.4292688,0.1431804
649,-0.3258326,0.1034362
650,-0.2429965,0.0828361
651,-0.1157447,0.1272518
652,0.0015234,0.1172681
653,0.0717135,0.0701901
654,0.0221201,-0.0495933
655,-0.0645524,-0.0866725
656,-0.0274155,0.0371368
657,-0.048449,-0.0210334
658,0.0178336,0.0662826
659,0.1253225,0.1074888
660,0.08692,-0.0384025
661,0.022688,-0.0642319
662,0.1308062,0.1081182
663,0.0754416,-0.0553646
664,-0.0039317,-0.0793733
665,-0.0209952,-0.0170634
666,0.0430611,0.0640563
667,0.1016942,0.0586331
668,0.0744968,-0.0271974
669,0.0751458,0.0006489
670,0.0520117,-0.023134
671,-0.0232036,-0.0752153
672,0.0141423,0.0373459
673,-0.24228,-0.2564223
674,-0.0485282,0.1937518
675,-0.0108538,0.0376744
676,-0.0327048,-0.0218509
677,-0.0278058,0.004899
678,-0.1557893,-0.1279835
679,-0.0875947,0.0681946
680,-0.0649937,0.022601
681,-0.0962162,-0.0312225
682,-0.1542622,-0.058046
683,-0.0538821,0.1003801
684,-0.123375,-0.0694929
685,-0.147285,-0.02391
686,-0.1900338,-0.0427488
687,-0.2180709,-0.0280371
688,-0.4222116,-0.2041407
689,-0.2991632,0.1230484
690,-0.2895406,0.0096225
691,-0.2978358,-0.0082952
692,-0.4581036,-0.1602677
693,-0.5159895,-0.057886
694,-0.523232,-0.0072425
695,-0.5194631,0.0037689
696,-0.434391,0.0850721
697,-0.4496764,-0.0152854
698,-0.332863,0.1168134
699,-0.4586383,-0.1257754
700,-0.285931,0.1727073
701,-0.2371006,0.0488304
702,-0.2556784,-0.0185778
703,-0.3807021,-0.1250237
704,-0.2762034,0.1044988
705,-0.2677584,0.008445
706,-0.2834232,-0.0156648
707,-0.1460221,0.137401
708,-0.1085256,0.0374965
709,-0.080086,0.0284396
710,-0.1063784,-0.0262924
711,-0.0405116,0.0658669
712,-0.1728517,-0.1323402
713,-0.1078276,0.0650242
714,-0.0827415,0.0250861
715,-0.1773342,-0.0945927
716,-0.2040315,-0.0266973
717,-0.3888147,-0.1847833
718,-0.3342922,0.0545225
719,-0.2162942,0.117998
720,-0.335712,-0.1194177
721,-0.2007724,0.1349396
722,-0.1729282,0.0278442
723,-0.2145555,-0.0416272
724,-0.263814,-0.0492585
725,-0.1747075,0.0891064
726,-0.329629,-0.1549215
727,-0.1829034,0.1467256
728,-0.253158,-0.0702546
729,-0.2760183,-0.0228603
730,-0.1338014,0.1422169
731,0.1083075,0.2421089
732,0.317259,0.2089515
733,-0.0584384,-0.3756974
734,-0.1265266,-0.0680882
735,-0.1616881,-0.0351615
736,-0.1772822,-0.0155941
737,-0.3562268,-0.1789446
738,-0.2692794,0.0869474
739,-0.3170434,-0.047764
740,-0.1750517,0.1419917
741,-0.1237572,0.0512945
742,-0.3213793,-0.1976221
743,-0.2225075,0.0988718
744,-0.204753,0.0177545
745,-0.0230858,0.1816673
746,0.0018412,0.024927
747,0.0229058,0.0210645
748,-0.040631,-0.0635368
749,-0.012978,0.0276531
750,-0.0182169,-0.0052389
751,0.1112779,0.1294948
752,-0.0006725,-0.1119504
753,0.2053748,0.2060472
754,0.1891607,-0.0162141
755,0.1218451,-0.0673156
756,0.0860868,-0.0357583
757,0.0638875,-0.0221993
758,0.1892757,0.1253882
759,0.273241,0.0839653
760,0.3550418,0.0818008
761,0.5194789,0.1644371
762,0.1871826,-0.3322963
763,0.2214924,0.0343097
764,0.2826232,0.0611309
765,0.3072045,0.0245813
766,0.3325699,0.0253654
767,0.4346874,0.1021176
768,0.5525495,0.117862
769,0.2490744,-0.3034751
770,0.1184556,-0.1306188
771,0.2704982,0.1520425
772,0.3036295,0.0331314
773,0.3736685,0.0700389
774,0.485007,0.1113385
775,0.5436984,0.0586914
776,0.5871529,0.0434545
777,0.6422814,0.0551285
778,0.7325872,0.0903058
779,0.8294351,0.0968478
780,0.8816329,0.0521979
781,0.8896009,0.0079679
782,0.9017318,0.012131
783,0.8767676,-0.0249643
784,0.8864091,0.0096415
785,1.003478,0.1170686
786,1.139813,0.1363354
787,0.9931036,-0.1467094
788,0.8924242,-0.1006794
789,1.027373,0.1349484
790,0.8749737,-0.1523989
791,1.103439,0.2284654
792,0.8682561,-0.235183
793,0.9898494,0.1215933
794,0.8953622,-0.0944872
795,0.6170248,-0.2783374
796,0.49071,-0.1263148
797,0.5150081,0.0242981
798,0.4340723,-0.0809358
799,0.3895236,-0.0445487
800,0.4554718,0.0659482
801,0.4202982,-0.0351737
802,0.4046406,-0.0156576
803,0.2777603,-0.1268803
804,0.3344898,0.0567295
805,0.4386048,0.104115
806,0.2997302,-0.1388747
807,0.3909718,0.0912417
808,0.4999697,0.1089979
809,0.5310696,0.0310999
810,0.4298758,-0.1011938
811,0.3424817,-0.0873941
812,0.4937815,0.1512998
813,0.299683,-0.1940985
814,0.2716985,-0.0279844
815,0.3914934,0.1197948
816,0.3178008,-0.0736925
817,0.2799577,-0.0378431
818,0.1526725,-0.1272853
819,0.1404976,-0.0121748
820,0.1617544,0.0212568
821,0.1306715,-0.0310829
822,-0.1449847,-0.2756563
823,-0.0331697,0.111815
824,-0.1353114,-0.1021417
825,-0.1884775,-0.053166
826,-0.01347,0.1750075
827,-0.0810343,-0.0675643
828,-0.2123946,-0.1313603
829,-0.0435316,0.1688629
830,0.0234525,0.0669842
831,-0.0958472,-0.1192997
832,-0.0898081,0.0060391
833,-0.1095568,-0.0197487
834,-0.2171915,-0.1076347
835,-0.0915819,0.1256096
836,-0.169819,-0.0782371
837,-0.2053882,-0.0355692
838,-0.1418497,0.0635385
839,-0.2339938,-0.0921441
840,-0.0630569,0.1709369
841,-0.1546358,-0.0915789
842,-0.3764661,-0.2218303
843,-0.3316378,0.0448283
844,-0.4420355,-0.1103977
845,-0.3608604,0.0811751
846,-0.4937507,-0.1328903
847,-0.4098857,0.083865
848,-0.4730829,-0.0631972
849,-0.4341277,0.0389552
850,-0.3573111,0.0768166
851,-0.5857521,-0.228441
852,-0.270246,0.3155061
853,-0.4958539,-0.2256079
854,-0.5007,-0.0048461
855,-0.4879963,0.0127037
856,-0.6438641,-0.1558678
857,-0.8038855,-0.1600214
858,-0.8749262,-0.0710407
859,-0.7362907,0.1386355
860,-0.7984012,-0.0621105
861,-0.8338994,-0.0354982
862,-0.8214657,0.0124337
863,-0.8033053,0.0181605
864,-0.7933748,0.0099305
