date,AccountsPayablesTDays,AccountsPayablesTRate,BLEV,CurrentRatio,DebtEquityRatio,DilutedEPS,DVRAT,EPS,EquityToAsset,GrossIncomeRatio,HBETA,HSIGMA,LFLO,MA10,MA120,MA20,MA5,MA60,MLEV,NetAssetGrowRate,NetProfitGrowRate,PB,PE,REVS10,REVS20,REVS5,ROA,ROE,VOL10,VOL120,VOL20,VOL5,VOL60,EARNMOM,FiftyTwoWeekHigh,Skewness,TVMA20,TVSTD20,VEMA26,VMACD,VR,VSTD20,KlingerOscillator,MoneyFlow20,MTM,Hurst,T_1closing_price
2010-11-22 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0321,5.897,0.7769,0.9081,0.4829,0.0166,25.8501,174.8078,150.7594,169.8864,173.0699,164.9926,1.0001,0.2466,0.0658,9.6153,35.8489,1.0919,1.0318,0.9718,0.2547,0.3103,0.0083,0.0033,0.0064,0.0062,0.0043,4,0.9116,0.6538,1044.6888,584.749,5878876.973,-833130.5164,1.6287,3183067.293,0.3559,20850621449,15.019,0.476,175.16
2010-11-23 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0391,5.897,0.7769,0.9081,0.4467,0.0172,25.9074,177.1258,151.2492,170.8879,175.4399,165.6222,1.0001,0.2466,0.0658,10.1825,37.9635,1.1398,1.1185,1.0669,0.2547,0.3103,0.0088,0.0034,0.0069,0.0069,0.0044,4,1,0.7807,1120.269,605.7791,6246884.679,-162186.2278,1.7454,3259670.129,0.4171,22369345501,23.1805,0.5505,178.51
2010-11-24 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0661,5.897,0.7769,0.9081,0.4586,0.0174,25.9633,179.1449,151.8071,172.4764,182.4241,166.4727,1.0001,0.2466,0.0658,10.7686,40.1485,1.1123,1.1889,1.2116,0.2547,0.3103,0.0084,0.0035,0.0073,0.0076,0.0045,4,1,1.177,1207.1129,633.6332,6604888.036,279743.5278,1.8853,3301070.655,0.5076,24094088002,20.1904,0.5654,189.04
2010-11-25 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0687,5.897,0.7769,0.9081,0.4413,0.0173,25.9785,181.85,152.3759,174.273,189.1201,167.3436,1.0001,0.2466,0.0658,10.9329,40.761,1.1538,1.2151,1.1975,0.2547,0.3103,0.0081,0.0035,0.0074,0.0077,0.0046,4,1,1.1184,1236.6448,603.4375,6453264.774,-307837.382,1.894,3143549.304,0.5745,24685784485,27.051,0.5599,199.92
2010-11-26 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0708,5.897,0.7769,0.9081,0.4339,0.0173,25.9993,184.821,153.0193,176.4775,195.536,168.2739,1.0001,0.2466,0.0658,11.1629,41.6185,1.1674,1.2702,1.1831,0.2547,0.3103,0.0074,0.0035,0.0074,0.008,0.0047,4,1,1.0193,1249.6489,602.3419,6447833.457,-444212.5726,1.9467,3145051.077,0.635,24938931435,29.7104,0.5563,202.97
2010-11-29 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0684,5.897,0.7769,0.9081,0.4315,0.0175,26.0427,188.0949,153.7335,179.1109,203.12,169.3846,1,0.2466,0.0658,11.6579,43.464,1.1782,1.3216,1.2124,0.2547,0.3103,0.0073,0.0036,0.0075,0.0084,0.0048,4,1,1.0063,1281.1546,594.6153,6470211.646,-474942.091,2.1957,3109493.709,0.6916,25574675597,32.7394,0.6074,207.24
2010-11-30 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0696,5.897,0.7769,0.9081,0.4452,0.0178,25.9875,190.857,154.3515,181.2179,206.2741,170.2919,1.0001,0.2466,0.0658,11.032,41.1305,1.1559,1.2591,1.0834,0.2547,0.3103,0.0072,0.0036,0.0075,0.0075,0.0049,4,0.8728,0.7677,1298.4975,591.3383,6477347.005,-507394.5748,2.0438,3105509.78,0.6622,25920160750,27.6207,0.6044,216.43
2010-12-1 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0514,5.897,0.7769,0.9081,0.4503,0.0177,25.9757,194.597,154.9431,183.1704,206.7699,171.1476,1.0001,0.2466,0.0658,10.9022,40.6465,1.2267,1.239,1.0124,0.2547,0.3103,0.0068,0.0036,0.0075,0.006,0.0049,4,0.8464,0.5548,1302.4784,587.308,6279145.153,-867562.0804,1.9748,3127545.066,0.5943,26002848876,37.4,0.5815,204.81
2010-12-2 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0421,5.897,0.7769,0.9081,0.4479,0.0177,25.9546,197.465,155.4868,184.8264,205.8099,171.7868,1.0001,0.2466,0.0658,10.6743,39.797,1.1692,1.2007,0.9763,0.2547,0.3103,0.0068,0.0036,0.0075,0.0059,0.0049,4,0.8001,0.366,1309.1117,581.2459,6132098.031,-996530.0244,2.0591,3135209.7,0.4999,26130670999,28.6795,0.5806,202.4
2010-12-3 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0314,5.897,0.7769,0.9081,0.4479,0.0177,25.9627,199.9279,156.0369,186.6169,204.3198,172.4628,1.0001,0.2466,0.0658,10.7616,40.1224,1.1406,1.2184,0.964,0.2547,0.3103,0.0067,0.0037,0.0075,0.0055,0.0049,4,0.8178,0.1988,1323.8466,565.0103,5996663.51,-1033159.533,2.0466,3089704.225,0.3905,26423005093,24.629,0.5889,198.17
2010-12-6 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0206,5.897,0.7769,0.9081,0.4465,0.0179,25.9282,201.379,156.505,188.0934,199.638,173.0651,1.0001,0.2466,0.0658,10.3969,38.7628,1.0813,1.1806,0.8918,0.2547,0.3103,0.0067,0.0037,0.0075,0.0049,0.005,4,0.7437,0.1224,1319.7048,568.3984,5873070.509,-1005761.519,2.1231,3137407.54,0.274,26340303406,14.5113,0.5922,199.79
2010-12-7 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0222,5.897,0.7769,0.9081,0.452,0.0179,25.9515,202.231,156.9867,189.6784,198.188,173.6913,1.0001,0.2466,0.0658,10.6415,39.6745,1.0451,1.1911,0.9646,0.2547,0.3103,0.0059,0.0037,0.0073,0.0042,0.005,4,0.7934,0.0083,1300.6845,585.6903,5673619.36,-1086978.088,2.1025,3249391.762,0.2019,25959270728,8.5202,0.6093,193.02
2010-12-8 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0177,5.897,0.7769,0.9081,0.4532,0.0179,25.9445,201.857,157.4647,190.5009,196.9441,174.2506,1.0001,0.2466,0.0658,10.5671,39.3974,0.9813,1.0915,0.9693,0.2547,0.3103,0.005,0.0037,0.0067,0.004,0.005,4,0.7783,-0.1587,1195.4081,511.0705,5463237.778,-1127343.955,1.9084,2754961.72,0.1583,23876800579,-3.74,0.5988,197.56
2010-12-9 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0146,5.897,0.7769,0.9081,0.4543,0.0179,25.9398,201.0859,157.9242,191.4679,196.3619,174.7263,1.0001,0.2466,0.0658,10.5176,39.2126,0.962,1.1099,0.9853,0.2547,0.3103,0.0048,0.0037,0.0064,0.0036,0.005,4,0.7682,-0.335,1153.0072,534.5682,5239749.054,-1142565.649,1.9454,2870092.638,0.1021,23037094324,-7.7113,0.611,196.18
2010-12-10 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0152,5.897,0.7769,0.9081,0.4542,0.0179,25.9523,200.1339,158.4049,192.4774,195.948,175.2671,1.0001,0.2466,0.0658,10.6501,39.7067,0.9541,1.1137,0.9896,0.2547,0.3103,0.0045,0.0037,0.006,0.0036,0.005,4,0.7951,-0.5403,1076.4043,467.3095,5144858.828,-896128.5952,2.2653,2443882.672,0.0783,21530705059,-9.52,0.5875,195.26
2010-12-13 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,0.0064,5.897,0.7769,0.9081,0.442,0.0179,25.9486,198.19,158.9012,193.1425,196.742,175.7756,1.0001,0.2466,0.0658,10.6108,39.5601,0.9102,1.0724,1.0206,0.2547,0.3103,0.0044,0.0037,0.0058,0.0039,0.0051,4,0.7871,-0.703,1060.694,459.0045,5197779.137,-447047.5564,1.8991,2384997.198,0.0879,21220366405,-19.439,0.6078,197.72
2010-12-14 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,0.0068,5.897,0.7769,0.9081,0.4394,0.0179,25.9532,197.4999,159.4237,194.1784,196.8118,176.2926,1.0001,0.2466,0.0658,10.6603,39.7448,0.9663,1.1169,1.0018,0.2547,0.3103,0.0044,0.0038,0.0058,0.0045,0.0052,4,0.7972,-0.9441,1057.1816,457.3883,5268630.46,-98402.4116,1.7316,2356136.142,0.1206,21147757887,-6.9009,0.6219,196.99
2010-12-15 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,0.0091,5.897,0.7769,0.9081,0.4397,0.018,25.9672,197.3299,160.0042,195.9634,197.7157,176.8128,1.0001,0.2466,0.0658,10.8106,40.3051,0.9916,1.2164,1.023,0.2547,0.3103,0.0045,0.0038,0.0056,0.0049,0.0052,4,0.8278,-0.9651,1036.7172,452.1414,5229648.944,-48619.1308,2.1191,2279212.139,0.1587,20745014347,-1.7,0.6151,197.91
2010-12-16 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,0.0037,5.897,0.7769,0.9081,0.4366,0.0181,25.998,198.2109,160.619,197.8379,200.06,177.4494,1.0001,0.2466,0.0658,11.1489,41.5663,1.0445,1.2212,1.06,0.2547,0.3103,0.0047,0.0038,0.0057,0.0058,0.0053,4,0.8965,-0.8157,1072.5165,450.8275,5337212.578,239084.859,1.9877,2279136.482,0.211,21459119199,8.8105,0.5912,200.7
2010-12-17 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,0.002,5.897,0.7769,0.9081,0.4396,0.0181,25.9856,198.6741,161.2311,199.301,201.4001,178.0683,1.0001,0.2466,0.0658,11.011,41.0522,1.0232,1.167,1.0339,0.2547,0.3103,0.0048,0.0039,0.0058,0.0061,0.0053,4,0.8685,-0.5304,1083.0922,447.7777,5325343.646,220690.3744,1.628,2276576.639,0.1984,21673809416,4.6311,0.598,206.98
2010-12-20 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0089,5.897,0.7769,0.9081,0.4462,0.0182,25.9506,199.11,161.7886,200.2445,201.478,178.6505,1.0001,0.2466,0.0658,10.6318,39.6384,1.0226,1.1057,1.002,0.2547,0.3103,0.0051,0.0039,0.0059,0.0063,0.0054,4,0.7914,0.8398,1108.2574,448.5859,5438705.228,417230.058,1.6401,2292560.986,0.1337,22186026378,4.3595,0.6139,204.42
2010-12-21 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0103,5.897,0.7769,0.9081,0.4311,0.0182,25.9333,198.754,162.3322,200.4925,200.6962,179.2281,1.0001,0.2466,0.0658,10.4497,38.9596,0.982,1.0262,0.9802,0.2547,0.3103,0.0054,0.004,0.0056,0.0062,0.0055,4,0.7544,1.2903,1066.1454,397.5249,5475537.582,405568.7102,1.7122,1928276.147,0.0424,21338114218,-3.5599,0.6224,197.38
2010-12-22 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0146,5.897,0.7769,0.9081,0.4324,0.0182,25.9174,198.231,162.8458,200.044,198.7462,179.7138,1.0001,0.2466,0.0658,10.2854,38.3471,0.9733,0.9551,0.9514,0.2547,0.3103,0.0055,0.004,0.0053,0.0062,0.0055,4,0.721,1.0558,997.3892,292.2599,5396988.279,186384.369,1.4915,1371243.303,-0.0544,19974467510,-5.2304,0.6215,194
2010-12-23 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0072,5.897,0.7769,0.9081,0.4342,0.0182,25.9162,197.7761,163.3782,199.431,195.4922,180.1481,1.0001,0.2466,0.0658,10.2725,38.2989,0.9767,0.9396,0.9214,0.2547,0.3103,0.0056,0.004,0.0052,0.0055,0.0056,4,0.7184,1.0337,982.8832,303.4768,5239758.703,-103293.6376,1.3163,1420266.562,-0.1451,19683274995,-4.5489,0.6077,190.95
